Day,日付,曜日,投稿時間目安,備考,投稿内容
9,2026/1/18,日,9:52,実践①開始（practice-01 intro〜08）+ 週報1回目,"おはようございます！

講座9日目、いよいよ実践①が始まります！🚀

今日から「メール内容をスプシに自動転記」ツールを作っていきます👇

📖 イントロダクション
https://ai-gas-course.pages.dev/実践編/practice-01-intro.html

📖 作業の棚卸
https://ai-gas-course.pages.dev/実践編/practice-01-section-01.html

📖 自動化ワークシート
https://ai-gas-course.pages.dev/実践編/practice-01-section-02.html

📖 メールサンプル
https://ai-gas-course.pages.dev/実践編/practice-01-section-03.html

📖 転記項目の設計
https://ai-gas-course.pages.dev/実践編/practice-01-section-04.html

📖 プロンプト例
https://ai-gas-course.pages.dev/実践編/practice-01-section-05.html

📖 ChatGPTでコード生成
https://ai-gas-course.pages.dev/実践編/practice-01-section-06.html

📖 GASエディタに貼り付け
https://ai-gas-course.pages.dev/実践編/practice-01-section-07.html

📖 初回承認
https://ai-gas-course.pages.dev/実践編/practice-01-section-08.html

量が多いですが、焦らず進めてください！

---

📋 **今日は週報の日です！**

1週間の振り返りを個別チャット（DM）で教えてください👇

【週報テンプレート】
📅 今週やったこと（Day番号）:
✅ できるようになったこと:
❓ つまずいた点・質問:
📝 来週の目標:"
10,2026/1/19,月,20:06,実践①続き（practice-01 section-09〜10）,"こんばんは！

講座10日目です。
実践①の続きを進めていきましょう！

今日の学習コンテンツはこちらです👇

📖 動作確認
https://ai-gas-course.pages.dev/実践編/practice-01-section-09.html

📖 トリガー設定で自動実行
https://ai-gas-course.pages.dev/実践編/practice-01-section-10.html

「トリガー」を設定すると、
手動で実行しなくても自動でスクリプトが動くようになります！
これがGASの醍醐味ですね✨

エラーが出ても大丈夫。
エラーメッセージをChatGPTに見せて、一緒に解決していきましょう！"
10,2026/1/19,月,21:47,【追加】進捗確認 + リアクション,"こんばんは！

実践①、進み具合はどうですか？

「周りと比べて遅い」と思っても気にしないでください。
自分のペースが一番大事です。

困ったことがあれば、いつでも声かけてくださいね！

---
📊 **進捗チェック！リアクションで教えてね**

順調に進んでる → ✅
ちょっと遅れ気味 → 🐢
エラーで詰まってる → 🆘

どれでも大丈夫！現状を共有してもらえると嬉しいです😊"
11,2026/1/20,火,19:53,実践①完了（practice-01 section-11）,"こんばんは！

講座11日目、実践①の最終日です🎉

今日の学習コンテンツはこちらです👇

📖 まとめ
https://ai-gas-course.pages.dev/実践編/practice-01-section-11.html

---

🎊 **実践① 完了おめでとうございます！**

「メールの内容をスプレッドシートに自動転記」
ここまでできた方、素晴らしいです！

まだ途中の方も、焦らなくて大丈夫。
自分のペースで進めてくださいね。

明日からは実践②「CSVファイルの自動転記」に入ります。
実践①の経験を活かして、どんどんレベルアップしていきましょう💪"
12,2026/1/21,水,18:27,【リマインド】グルコン1 3日前,"こんばんは！

📣 **グルコンのお知らせ**

3日後の **1/24（土）** はグルコン（グループコンサル）です！

ここまでの学習で…
・わからなかったこと
・うまくいかなかったこと
・確認したいこと

なんでも相談できる機会です。
質問を整理しておいてくださいね！

詳細はまたアナウンスしますね📩"
12,2026/1/21,水,20:32,実践②開始（practice-02 section-01〜07）,"こんばんは！

講座12日目、実践②が始まります！

今日から「CSVファイルをスプシに自動転記」ツールを作ります👇

📖 イントロダクション
https://ai-gas-course.pages.dev/実践編/practice-02-section-01.html

📖 作業の棚卸
https://ai-gas-course.pages.dev/実践編/practice-02-section-02.html

📖 自動化ワークシート
https://ai-gas-course.pages.dev/実践編/practice-02-section-03.html

📖 準備編
https://ai-gas-course.pages.dev/実践編/practice-02-section-04.html

📖 データ形式と転記項目
https://ai-gas-course.pages.dev/実践編/practice-02-section-05.html

📖 プロンプト作成と送信
https://ai-gas-course.pages.dev/実践編/practice-02-section-06.html

📖 コードをGASエディタに貼り付け
https://ai-gas-course.pages.dev/実践編/practice-02-section-07.html

実践①で学んだ流れを使うので、
前回よりスムーズに進められるはずです！

できるところまで進めてみてください✨"
13,2026/1/22,木,21:17,実践②続き（practice-02 section-08〜09）,"こんばんは！

講座13日目です。
実践②の続きを進めていきましょう！

今日の学習コンテンツはこちらです👇

📖 動作確認
https://ai-gas-course.pages.dev/実践編/practice-02-section-08.html

📖 カスタムメニュー設定
https://ai-gas-course.pages.dev/実践編/practice-02-section-09.html

「カスタムメニュー」を設定すると、
スプレッドシートを開いたときに専用のメニューが表示されます。
ボタン一つで実行できるようになるので便利ですよ！

実践①では「トリガー」、実践②では「カスタムメニュー」。
使い分けができるようになると、ツール作りの幅が広がります✨"
13,2026/1/22,木,21:56,【追加】AIネタ（バイブコーディング等）,"こんばんは！

ちょっと息抜きに、最近のAI事情の話を🤖

皆さんが今学んでいるのは「開発系」のAI活用ですが、
最近は画像生成や動画生成もすごいことになってます。

・テキストから画像を作る
・写真から動画を生成する
・AIが音楽を作曲する

こういうのも、どんどん身近になってきてます。

ちなみに、AIを使ってコーディングすることを
最近は「バイブコーディング」と呼びます（笑）

皆さんも立派なバイブコーダーですね😎

「AIで何かを作る」スキルは、
これからの時代、いろんな場面で役立ちますよ✨"
14,2026/1/23,金,21:42,実践②完了 + Week2終了 + グルコン1前日リマインド,"こんばんは！

講座14日目、実践②の最終日 & Week 2の最終日です🎉

今日の学習コンテンツはこちらです👇

📖 このツールのメリット
https://ai-gas-course.pages.dev/実践編/practice-02-section-10.html

📖 まとめ
https://ai-gas-course.pages.dev/実践編/practice-02-section-11.html

---

🎊 **実践② 完了 & Week 2 お疲れ様でした！**

メール自動転記、CSV自動転記と、
2つのツールを作ってきました。

「あれ、なんかできるようになってきた？」
そう感じていたら、順調に成長している証拠です！

---

⚡ **明日はグルコン（グループコンサル）です！**

ここまでの学習で困ったことや、
聞きたいことを整理しておいてくださいね。
詳細はまたアナウンスしますね。

週末はゆっくり休んで、また来週頑張りましょう✨"
15,2026/1/24,土,9:37,グルコン1当日朝,"おはようございます！

講座15日目、今日は **グルコン（グループコンサル）** の日です！📣

---

🎤 **グルコン1回目：実践のお悩み相談**

ここまでの学習で出てきた疑問や困りごとを
直接相談できる機会です！

・エラーが解決しない
・この部分がよくわからない
・自分のやり方で合ってるか不安

どんな質問でもOKです。
他の人の質問を聞くだけでも勉強になりますよ！

---

📅 日時・参加方法はまたアナウンスしますね。
確認をお願いします！

今日のグルコンでモヤモヤを解消して、
来週からの後半戦に備えましょう💪"
15,2026/1/24,土,○○:○○,【手動】グルコン1直前（時間・URL手入力）,"🎤 **【グルコン1回目】まもなく開催！**

本日 ○○:○○ からグルコン（グループコンサル）を開催します！

---

📅 日時：1/24（土）○○:○○〜○○:○○
📍 場所：Zoom（オンライン）
🔗 参加URL：
［ここにZoom URLを貼る］

---

⏰ **開始5分前には入室しておいてください**

・カメラON/OFFはどちらでもOK
・マイクは発言時以外ミュートでお願いします
・質問はチャットでも受け付けます

ここまでの学習で困ったことや聞きたいことを
どんどん相談してくださいね！

それでは、後ほどお会いしましょう👋"
16,2026/1/25,日,10:23,Week3スタート / 実践③開始 + 週報2回目,"おはようございます！

講座16日目、Week 3スタートです🔥
今日から実践③「Googleフォーム自動返信ボット」に入ります！

今日の学習コンテンツはこちらです👇

📖 イントロダクション
https://ai-gas-course.pages.dev/実践編/practice-form-bot-01.html

📖 準備と設計
https://ai-gas-course.pages.dev/実践編/practice-form-bot-02.html

フォームの自動返信は、
お問い合わせフォームやイベント申し込みなど、
実務でとても役立つ仕組みです！

---

📋 **今日は週報の日です！**

1週間の振り返りを個別チャット（DM）で教えてください👇

【週報テンプレート】
📅 今週やったこと（Day番号）:
✅ できるようになったこと:
❓ つまずいた点・質問:
📝 来週の目標:

昨日のグルコンの感想も書いてくれると嬉しいです！"
17,2026/1/26,月,20:18,実践③続き（practice-form-bot-03）,"こんばんは！

講座17日目です。
実践③の続きを進めていきましょう！

今日の学習コンテンツはこちらです👇

📖 実装と動作確認
https://ai-gas-course.pages.dev/実践編/practice-form-bot-03.html

フォームに回答したら、自動でメールが届く…
この仕組みが動いたときは感動しますよ！

うまくいかないときは、
エラーメッセージをChatGPTに見せてみてください。
一緒に原因を探ってくれます✨"
17,2026/1/26,月,21:41,【追加】励まし + リアクション,"こんばんは！

講座も後半戦に入りましたね。
折り返しまであと少し！

ここまで続けてきた自分を、
ちゃんと褒めてあげてください👏

「毎日はできなかった」
「全部は理解できてない」

それでも大丈夫。
続けていること自体がすごいことです。

残り半分、一緒に走り抜けましょう💪

---
後半戦も頑張るぞ！という方は🔥"
18,2026/1/27,火,19:47,実践③完了（practice-form-bot-04）,"こんばんは！

講座18日目、実践③の最終日です🎉

今日の学習コンテンツはこちらです👇

📖 応用と注意点
https://ai-gas-course.pages.dev/実践編/practice-form-bot-04.html

---

🎊 **実践③ 完了おめでとうございます！**

これで3つ目のツールが完成しました！

・メール自動転記
・CSV自動転記
・フォーム自動返信

実践①②③で学んだことは、
オリジナルツールを作るときの土台になります。

明日は「トラブルシューティング」を学んで、
いよいよオリジナルツール製作に入っていきます！💪"
19,2026/1/28,水,21:03,トラブルシューティング（troubleshooting-01〜03）,"こんばんは！

講座19日目です。
今日は「トラブルシューティング」を学びます！

今日の学習コンテンツはこちらです👇

📖 エラーの指示の出し方
https://ai-gas-course.pages.dev/トラブルシューティング/troubleshooting-01.html

📖 3回以上のエラー対処法
https://ai-gas-course.pages.dev/トラブルシューティング/troubleshooting-02.html

📖 エラー修正の心構え
https://ai-gas-course.pages.dev/トラブルシューティング/troubleshooting-03.html

エラーとの付き合い方を知っておくと、
オリジナルツール製作で詰まったときに役立ちます。

特に「3回以上のエラー対処法」は、
困ったときの駆け込み寺として覚えておいてください！✨"
20,2026/1/29,木,20:29,実践④開始（practice-04 intro〜step1）,"こんばんは！

講座20日目、いよいよ実践④「オリジナルツール製作」が始まります！🎨

今日の学習コンテンツはこちらです👇

📖 イントロダクション
https://ai-gas-course.pages.dev/実践編/practice-04-intro.html

📖 棚卸しから始めましょう
https://ai-gas-course.pages.dev/実践編/practice-04-step1.html

---

🎯 **ここからが本番です！**

ここまで学んできたことを使って、
「自分だけのツール」を作っていきます。

・毎日やってるあの作業
・面倒だなと思ってること
・自動化できたら嬉しいこと

まずは「何を作りたいか」を考えてみてください！

困ったらいつでも相談してくださいね💪"
20,2026/1/29,木,21:19,【追加】経験談②（1ヶ月以上かかった + トラブルシューティング）,"こんばんは！

オリジナルツール製作、始まりましたね！

また僕の話ですが…
最初の頃、1つのツールを作るのに
1ヶ月以上かかってました😅

・AIへの指示の仕方が悪くて伝わらない
・エラーの伝え方が悪くて解決しない
・同じところでずっとハマる

こんな経験をたくさんしました。

でも、その経験があったからこそ、
この講座の「トラブルシューティング」の内容を
作ることができました。

皆さんが今つまずいていることは、
僕も全部通ってきた道です。

最初は時間がかかっても当たり前。
試行錯誤している時間は、全部成長に繋がってます。

焦らず、楽しんでいきましょう！"
21,2026/1/30,金,21:08,Week3終了 / 折り返し地点（practice-04 step2〜3）,"こんばんは！

講座21日目、Week 3の最終日です🎉
そして… **講座の折り返し地点** に到達しました！🏃‍♂️

今日の学習コンテンツはこちらです👇

📖 参考にする実践編を選ぶ
https://ai-gas-course.pages.dev/実践編/practice-04-step2.html

📖 トリガーとカスタムメニューの使い分け
https://ai-gas-course.pages.dev/実践編/practice-04-step3.html

---

🎊 **折り返し地点、お疲れ様です！**

最初の15日間で基礎をしっかり固めて、
3つの実践ツールを作ってきました。

後半の15日間は、
あなただけのオリジナルツールを完成させます！

「作りたいもの」が決まっている方は、
週末に少しずつ進めてみてください。

まだ決まっていない方も大丈夫。
来週のグルコンで一緒に考えましょう！✨"
22,2026/1/31,土,11:15,Week4スタート / オリジナル製作（practice-04 step4〜5）+ Tips,"おはようございます！

講座22日目、Week 4スタートです🔥

今日の学習コンテンツはこちらです👇

📖 プロンプトを送る
https://ai-gas-course.pages.dev/実践編/practice-04-step4.html

📖 トライ&エラーを繰り返す
https://ai-gas-course.pages.dev/実践編/practice-04-step5.html

---

💡 **Tips: プロンプトのコツ**

ChatGPTに依頼するとき、こんな情報を含めると良いです👇

1. 何をしたいか（目的）
2. 使うGoogleサービス（スプレッドシート、メール等）
3. 具体的な処理の流れ
4. 参考にした実践編の番号

「実践①のコードを参考に、○○するツールを作りたい」
という伝え方もオススメです！

困ったらDMで相談してくださいね✨"
22,2026/1/31,土,12:23,【リマインド】グルコン2 3日前,"こんにちは！

📣 **グルコン2回目のお知らせ**

3日後の **2/3（火）** はグルコン2回目です！

オリジナルツール製作で…
・詰まっているところ
・やりたいけど方法がわからないこと
・設計が合っているか確認したいこと

なんでも相談できます。
質問を整理しておいてくださいね！

詳細はまたアナウンスしますね📩"
23,2026/2/1,日,10:47,オリジナル製作 + Tips + 週報3回目,"おはようございます！

講座23日目です。
オリジナルツール製作、進んでいますか？

今日も引き続きトライ&エラーを重ねていきましょう！

---

💡 **Tips: エラーが出たときは…**

1. エラーメッセージをコピー
2. ChatGPTに「このエラーが出ました」と送る
3. 提案された修正を試す
4. まだダメなら「まだ同じエラーが出ます」と伝える

3回以上繰り返してもダメなときは、
「別のアプローチで書き直してください」とお願いすると
新しい方法を提案してくれることがあります！

---

📋 **今日は週報の日です！**

1週間の振り返りを個別チャット（DM）で教えてください👇

【週報テンプレート】
📅 今週やったこと（Day番号）:
✅ できるようになったこと:
❓ つまずいた点・質問:
📝 来週の目標:

オリジナルツールの進捗も教えてくださいね！"
24,2026/2/2,月,20:14,オリジナル製作 + Tips + グルコン2前日リマインド,"こんばんは！

講座24日目です。
オリジナルツールのブラッシュアップを進めましょう！

---

💡 **Tips: ツールをもっと便利にするアイデア**

・エラー時にメール通知を送る
・処理結果をログに残す
・複数のシートに対応させる
・条件分岐を追加する

「基本機能が動いたら、追加機能を足す」
この順番で進めると失敗しにくいです！

---

⚡ **明日はグルコン2回目です！**

オリジナルツール製作で困っていること、
相談したいことを整理しておいてくださいね。

・ここで詰まってる
・こういうことをしたいけど方法がわからない
・このエラーが解決しない

どんな質問でもOKです！
詳細はまたアナウンスしますね。"
24,2026/2/2,月,21:48,【追加】進捗確認 + リアクション,"こんばんは！

オリジナルツール、形になってきましたか？

明日のグルコンでは、
どんな相談でも受け付けます。

「こんなこと聞いていいのかな…」
って遠慮しなくて大丈夫。

むしろ、そういう質問が
他の人の参考にもなります。

何か準備しておいてくださいね！

---
📊 **ツールの進捗、教えてね！**

動くものができた → 🎉
まだ途中 → 🔧
何を作るか迷ってる → 🤔

どれでもOK！明日のグルコンで相談できます😊"
25,2026/2/3,火,9:42,グルコン2当日朝,"おはようございます！

講座25日目、今日は **グルコン2回目** の日です！📣

---

🎤 **グルコン2回目：オリジナルツールのお悩み相談**

・このエラーが解決しない
・こういう機能を追加したい
・自分の設計で合ってるか見てほしい

オリジナルツール製作に関することなら何でもOK！
他の人がどんなツールを作っているか聞くのも参考になりますよ。

---

📅 日時・参加方法はまたアナウンスしますね。
確認をお願いします！

今日のグルコンで疑問を解消して、
残り5日間でツールを完成させましょう💪"
25,2026/2/3,火,○○:○○,【手動】グルコン2直前（時間・URL手入力）,"🎤 **【グルコン2回目】まもなく開催！**

本日 ○○:○○ からグルコン2回目を開催します！

---

📅 日時：2/3（火）○○:○○〜○○:○○
📍 場所：Zoom（オンライン）
🔗 参加URL：
［ここにZoom URLを貼る］

---

⏰ **開始5分前には入室しておいてください**

・カメラON/OFFはどちらでもOK
・マイクは発言時以外ミュートでお願いします
・質問はチャットでも受け付けます

オリジナルツール製作で詰まっているところ、
なんでも相談してくださいね！

それでは、後ほどお会いしましょう👋"
26,2026/2/4,水,19:56,グルコン2振り返り + フィードバック反映,"こんばんは！

講座26日目です。
昨日のグルコンはいかがでしたか？

グルコンで得たフィードバックを反映していきましょう！

---

💡 **Tips: グルコンの内容を活かすコツ**

1. メモした内容を見返す
2. 指摘されたポイントを一つずつ修正
3. 修正したらすぐに動作確認
4. 新しいエラーが出たらChatGPTに相談

「一気に全部直す」より「一つずつ確実に」が鉄則です！

---

あと4日で講座終了です。
完成を目指して頑張りましょう！💪

困ったらいつでもDMで相談してくださいね。"
27,2026/2/5,木,20:43,オリジナル仕上げ + Tips,"こんばんは！

講座27日目です。
オリジナルツールの仕上げに入っていきましょう！

---

💡 **Tips: 完成前のチェックリスト**

✅ 基本機能は正しく動くか
✅ エラーが出たときの挙動は大丈夫か
✅ 実際に使うシチュエーションでテストしたか
✅ 自分以外の人が使っても分かりやすいか

「とりあえず動く」から「安心して使える」へ。
このステップが大切です！

---

あと3日！
完成が見えてきましたね✨

最後まで走り抜けましょう💪"
27,2026/2/5,木,21:57,【追加】励まし + 経験談 + リアクション,"こんばんは！

講座も残り3日。
ツールの仕上げ段階ですね。

ここで1つ、大事なことを。

「完璧じゃなくていい」

バグがあってもいい。
想定通り動かない部分があってもいい。
「とりあえず動く」で十分です。

僕が最初に作ったツールも、
正直、完成度は低かったです。

でも「自分で作ったものが動いた」
その経験が、次に繋がりました。

完璧を目指すより、
「動くものを作る」を優先してください。

あと少し、頑張りましょう💪

---
ラストスパート頑張るぞ！という方は🔥"
28,2026/2/6,金,21:27,Week4終了 / 動作確認 + Tips,"こんばんは！

講座28日目、Week 4の最終日です🎉

今日は作成したツールの **動作確認** を徹底しましょう！

---

💡 **Tips: 最終動作確認のポイント**

1. 正常系：普通に使ったときに正しく動くか
2. 異常系：変なデータを入れたらどうなるか
3. 境界値：データが0件のとき、大量のときは？

「こんな使い方されたらどうなるかな？」
いろんなパターンを試してみてください。

---

🎊 **Week 4 お疲れ様でした！**

いよいよ残り2日です！

明日・明後日で最終仕上げをして、
1ヵ月の集大成を完成させましょう✨

あと少し、一緒に頑張りましょう💪"
29,2026/2/7,土,10:33,運用開始,"おはようございます！

講座29日目、ラスト2日です！

今日から **実務での運用を開始** してみましょう！

---

📌 **実際に使ってみることが大切**

テスト環境ではなく、
本番のデータや作業で使ってみてください。

使ってみると…
・「ここ、ちょっと不便だな」
・「この機能もあったら便利」
・「思ったより使いやすい！」

いろんな発見があるはずです。

---

💡 **Tips: 運用中に気づいたことは…**

すぐに直さなくてOK！
まずはメモしておいて、後から改善していきましょう。

「使いながら育てる」のがツール作りのコツです。

---

明日はいよいよ最終日！
1ヵ月間の振り返りをしましょう✨"
30,2026/2/8,日,10:07,講座修了 + 最終週報,"おはようございます！

講座30日目、最終日です！🎉

---

🎊 **1ヵ月間、本当にお疲れ様でした！**

Day 1で「生成AIとは？」から始まって、
今日、あなただけのオリジナルツールが完成しました。

・生成AIの基礎
・GASの仕組み
・3つの実践ツール
・オリジナルツール製作

この1ヵ月で学んだことは、
これからの仕事や生活で必ず役立ちます。

---

📌 **講座終了後も…**

・作ったツールは使い続けてください
・新しいアイデアが浮かんだら挑戦してみてください
・困ったときはChatGPTに相談すればOK

「自分でツールを作れる」というスキルは、
一生モノの財産です！

---

📋 **最終週報をお願いします！**

1ヵ月間の振り返りを個別チャット（DM）で教えてください👇

【最終週報テンプレート】
📅 この1ヵ月でやったこと:
✅ できるようになったこと:
💡 一番印象に残っていること:
🎯 今後やってみたいこと:

---

1ヵ月間、一緒に学んでくれてありがとうございました！
これからも生成AI×GASライフを楽しんでください✨

また何かあれば、いつでも連絡くださいね！💪"
